"ID";"Ce que ca debloque";"Categorie";"Question";"Options";"Pourquoi ca compte";"Ma recommandation";"Raison de la recommandation";"TA REPONSE";"TON COMMENTAIRE"
"Q01";"Demarrage code";"Perimetre";"Ordre de validation des classes de bateau";"A=8+ seul d'abord | B=8+ et 1x en parallele | C=les 8 classes d'emblee";"Le multi-classes est cable partout, mais la validation demande des cibles chiffrees par classe. L'ordre decide ou on decouvre les erreurs d'abstraction.";"B";"Le 1x est le cas le plus simple (1 rameur, pas de barreur, couple) et exerce d'emblee le chemin couple + les deux extremes de la loi d'echelle. Valider le 8+ seul risque de reveler l'erreur d'abstraction trois semaines plus tard.";"";""
"Q02";"Demarrage code";"Perimetre";"Perimetre de l'application web";"A=local mono-utilisateur | B=local partageable sur le reseau du club | C=deployable en ligne";"Decide authentification, persistance multi-utilisateurs, complexite de deploiement.";"A puis B";"Le mono-utilisateur local economise environ une journee de dev et ne ferme aucune porte : passer en B plus tard ne coute que la config reseau.";"";""
"Q03";"Demarrage code";"Interface";"Fidelite du schema de bateau";"A=statique colore par metrique | B=+ animation du coup | C=+ vue 3D";"L'animation demande une boucle de rendu et un reechantillonnage cote client.";"B";"L'animation apporte beaucoup pour lire la synchro d'equipage, qui est le coeur du tableau de bord entraineur. La 3D est du temps mal place a ce stade.";"";""
"Q04";"Conception du modele";"Donnees d'entree";"Origine des profils de force a la poignee";"A=parametrique uniquement | B=import Concept2 des le depart | C=parametrique puis C2 plus tard";"Determine si le modele s'appuie sur de la variabilite humaine reelle ou sur une fonction de forme.";"B si compte C2 avec historique";"Des courbes reelles rendent le modele nettement plus credible et fournissent gratuitement la variabilite inter-coups. As-tu un compte Concept2 avec de l'historique coup par coup exploitable ?";"";""
"Q05";"Conception du modele";"Donnees d'entree";"Rameurs identiques ou individualises";"A=uniformes 88 kg | B=masses reelles de l'equipage | C=masses + tailles reelles";"Le CdM equipage et la vue equipage ne deviennent exploitables qu'avec des masses reelles. C'est de toute facon une donnee de calibration necessaire a terme.";"C si disponible";"Masse et taille suffisent a individualiser toute la chaine segmentaire via De Leva.";"";""
"Q06";"Conception du modele";"Physique";"En couple : un angle d'aviron partage ou deux angles independants";"A=un angle partage (symetrique) | B=deux angles independants";"Deux angles doublent les etats et le cout de calcul, mais permettent de detecter un defaut main gauche / main droite.";"A pour la v1";"Sauf si la dissymetrie gauche/droite en couple est un cas d'usage produit pour toi. A trancher : l'est-elle ?";"";""
"Q07";"Calibration";"Donnees bateau";"Cotes reelles des bateaux disponibles";"A=oui, releves club | B=donnees constructeur seulement | C=aucune, valeurs de litterature";"Levier interieur, ecartement, longueur d'aviron et type de palette pilotent directement l'arc et le bras de levier.";"A si possible";"Les donnees constructeur ne couvrent pas le greement, qui est regle au club et varie d'un bateau a l'autre. Voir la note sur ce que Filippi publie reellement.";"";""
"Q08";"Calibration";"Environnement";"Etat de la station meteo de rive";"A=installee, enregistre deja | B=commandee | C=pas encore decidee";"Le brief impose d'injecter des traces de vent REELLES : c'est la structure des rafales qui decide si un anemometre embarque est necessaire. Sans enregistrements, cette question precise reste ouverte.";"Installer tot";"L'horloge de saisonnalite tourne independamment du code. Installee pendant le developpement, la serie s'accumule gratuitement.";"";""
"Q09";"Calibration";"Environnement";"Bassin de reference principal";"A=Bordeaux | B=Vichy | C=les deux";"Decide quelles coordonnees interroger pour l'historique meteo, et si le modele de courant doit gerer une riviere ou un plan d'eau ferme.";"A trancher";"Vichy est un bassin de competition, Bordeaux ton terrain courant. Le modele de courant differe beaucoup entre les deux.";"";""
"Q10";"Calibration";"Terrain";"Acces a un equipage pour les essais de calibration";"A=oui, huit complet | B=oui, petit bateau seulement | C=incertain";"Les coefficients de trainee reels s'obtiennent par essais de deceleration libre. Sans equipage disponible, le bilan energetique reste en indice relatif et ne passe jamais en watts absolus.";"A confirmer tot";"C'est gratuit et ne demande que deux sorties, mais ca conditionne le plafond du tableau de bord entraineur.";"";""
